nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
México,128932753,1964375,América
Colombia,51049498,1141748,América
Chile,19116201,756102,América
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
España,47351567,505990,Europa
Italia,60317000,301340,Europa
Polonia,38036118,312685,Europa
China,1412600000,9596960,Asia
India,1380004385,3287263,Asia
Japón,125800000,377975,Asia
Indonesia,273523615,1904569,Asia
Turquía,84339067,783562,Asia
Nigeria,206139589,923768,África
Etiopía,117876227,1104300,África
Egipto,102334404,1001449,África
Sudáfrica,59308690,1219090,África
Kenia,53771296,580367,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5084300,270467,Oceanía
Uruguay,2,2,America
